组別	owner	repo
一A	zechuncai	nfu_newmedia_python
一B		
一C	CherryLichan	nfu_newmedia_python
一D	Observer-L	nfu_newmedia_python
一E		
一F		
一G	SylviaTang	nfu_newmedia_python	
一H		
一I	vivianting  nfu_newmedia_python	
二A	YouYou-Chen	nfu_newmedia_python
二B	tissues00	nfu_newmedia_python
二C	hujingyin  	nfu_newmedia_python
二D		niniupiwofu nfu_newmedia_python
二E		
二F		
二G	Tumaorou	nfu_newmedia_python
二H		
二I		
三A	hanteng	nfu_newmedia_python
